,x,y,w,h,Total_Faces,Image_Name
685,111,31,447,447,1,real_00371.jpg
686,109,175,355,355,1,real_00826.jpg
687,105,65,335,335,2,real_00198.jpg
688,66,125,419,419,1,real_00832.jpg
689,486,42,107,107,3,real_00629.jpg
690,88,195,342,342,2,real_00601.jpg
691,115,167,386,386,1,real_00167.jpg
692,70,144,417,417,1,real_00173.jpg
693,74,125,432,432,1,real_00615.jpg
694,65,168,57,57,2,real_00952.jpg
695,2,273,66,66,1,real_00946.jpg
696,47,125,422,422,1,real_00749.jpg
697,40,129,407,407,1,real_00991.jpg
698,82,115,442,442,1,real_00985.jpg
699,0,0,0,0,0,0
700,82,147,408,408,1,real_00013.jpg
701,224,214,80,80,2,real_00007.jpg
702,71,31,488,488,1,real_00761.jpg
703,139,150,404,404,1,real_00588.jpg
704,442,74,59,59,2,real_00239.jpg
705,147,131,391,391,2,real_00211.jpg
706,2,88,77,77,3,real_00577.jpg
707,40,173,332,332,1,real_00563.jpg
708,99,199,369,369,1,real_00205.jpg
709,84,160,395,395,1,real_00229.jpg
710,85,102,60,60,2,real_01013(1).jpg
711,68,67,471,471,1,real_00201.jpg
712,119,149,399,399,1,real_00567.jpg
713,98,138,379,379,1,real_00573.jpg
714,0,0,0,0,0,0
715,29,101,492,492,1,real_00598.jpg
716,117,169,393,393,1,real_00981.jpg
717,218,196,330,330,1,real_00759.jpg
718,22,68,464,464,1,real_00995.jpg
719,50,95,459,459,1,real_00765.jpg
720,262,13,125,125,2,real_00003.jpg
721,80,123,453,453,1,real_00017.jpg
722,110,162,367,367,1,real_00771.jpg
723,0,0,0,0,0,0
724,172,166,364,364,1,real_00956.jpg
725,40,81,471,471,1,real_00639.jpg
726,0,0,0,0,0,0
727,121,219,105,105,2,real_00177.jpg
728,26,121,447,447,1,real_00163.jpg
729,100,113,421,421,2,real_00605.jpg
730,22,80,450,450,1,real_00836.jpg
731,111,129,403,403,1,real_00188.jpg
732,80,96,424,424,1,real_00822.jpg
733,64,167,400,400,1,real_00349.jpg
734,524,97,67,67,2,real_01057.jpg
735,36,132,421,421,1,real_01043.jpg
736,37,36,478,478,2,real_00375.jpg
737,420,44,59,59,2,real_00413.jpg
738,61,106,420,420,1,real_00407.jpg
739,63,83,442,442,1,real_00361.jpg
740,52,91,450,450,1,real_01080.jpg
741,0,0,0,0,0,0
742,76,122,382,382,1,real_00406.jpg
743,69,115,431,431,1,real_00360.jpg
744,355,203,63,63,1,real_00374.jpg
745,116,117,399,399,2,real_00412.jpg
746,44,138,398,398,2,real_01042.jpg
747,113,146,383,383,1,real_01056.jpg
748,75,73,450,450,1,real_00348.jpg
749,105,203,351,351,3,real_00823.jpg
750,471,3,28,28,3,real_00837.jpg
751,140,153,373,373,1,real_00189.jpg
752,0,0,0,0,0,0
753,117,190,366,366,1,real_00604.jpg
754,34,123,392,392,1,real_00610.jpg
755,67,162,403,403,1,real_00176.jpg
756,56,171,361,361,1,real_00638.jpg
757,0,0,0,0,0,0
758,114,196,381,381,1,real_00943.jpg
759,0,0,0,0,0,0
760,43,146,415,415,1,real_00770.jpg
761,79,117,427,427,1,real_00764.jpg
762,81,141,434,434,1,real_00002.jpg
763,128,49,458,458,1,real_00994.jpg
764,44,157,402,402,1,real_00758.jpg
765,108,181,26,26,4,real_00980.jpg
766,63,115,442,442,1,real_00599.jpg
767,159,216,353,353,1,real_00572.jpg
768,62,137,432,432,1,real_00214.jpg
769,98,38,423,423,1,real_00200.jpg
770,173,133,377,377,1,real_00566.jpg
771,0,0,0,0,0,0
772,106,189,377,377,1,real_00558.jpg
773,101,165,387,387,1,real_00216.jpg
774,48,130,398,398,1,real_00570.jpg
775,51,159,422,422,1,real_00564.jpg
776,0,0,0,0,0,0
777,25,24,545,545,1,real_00996.jpg
778,71,87,432,432,1,real_00028.jpg
779,23,99,453,453,1,real_00982.jpg
780,105,183,399,399,1,real_00772.jpg
781,288,9,45,45,2,real_00014.jpg
782,59,142,403,403,1,real_00766.jpg
783,85,148,395,395,1,real_00955.jpg
784,65,113,454,454,1,real_00799.jpg
785,123,130,421,421,1,real_00941.jpg
786,510,100,80,80,1,real_00969.jpg
787,0,0,0,0,0,0
788,100,174,382,382,2,real_00606.jpg
789,102,180,366,366,1,real_00160.jpg
790,90,104,429,429,1,real_00174.jpg
791,75,122,456,456,1,real_00612.jpg
792,162,139,355,355,1,real_00821.jpg
793,138,102,407,407,1,real_00835.jpg
794,83,98,411,411,1,real_00809.jpg
795,110,124,425,425,1,real_01040.jpg
796,143,129,408,408,1,real_00438.jpg
797,0,0,0,0,0,0
798,221,206,297,297,2,real_00362.jpg
799,217,85,325,325,3,real_00404.jpg
800,115,71,423,423,1,real_00410.jpg
801,84,171,389,389,1,real_00376.jpg
802,90,161,388,388,1,real_01068.jpg
803,0,0,0,0,0,0
804,44,184,388,388,1,real_00388.jpg
805,92,138,411,411,1,real_00411.jpg
806,52,200,354,354,1,real_01069.jpg
807,112,173,389,389,1,real_00377.jpg
808,144,184,397,397,1,real_00363.jpg
809,34,124,430,430,1,real_00405.jpg
810,100,167,390,390,1,real_01055.jpg
811,143,125,407,407,1,real_01041.jpg
812,33,117,385,385,1,real_00439.jpg
813,139,138,408,408,1,real_00808.jpg
814,130,216,356,356,1,real_00834.jpg
815,80,110,440,440,1,real_00820.jpg
816,195,8,57,57,2,real_00175.jpg
817,115,139,422,422,1,real_00613.jpg
818,0,0,0,0,0,0
819,20,122,399,399,1,real_00161.jpg
820,70,189,300,300,1,real_00149.jpg
821,33,79,456,456,1,real_00968.jpg
822,97,74,431,431,1,real_00940.jpg
823,0,0,0,0,0,0
824,72,7,508,508,1,real_00954.jpg
825,156,147,419,419,1,real_00001.jpg
826,105,141,403,403,1,real_00767.jpg
827,67,154,388,388,1,real_00773.jpg
828,75,96,444,444,1,real_00015.jpg
829,89,96,468,468,1,real_00983.jpg
830,59,124,427,427,6,real_00997.jpg
831,0,0,0,0,0,0
832,88,112,404,404,1,real_00565.jpg
833,75,3,478,478,1,real_00203.jpg
834,49,46,536,536,1,real_00217.jpg
835,75,100,438,438,1,real_00571.jpg
836,125,187,383,383,1,real_00559.jpg
837,116,171,426,426,1,real_00270.jpg
838,45,131,442,442,1,real_00516.jpg
839,91,165,402,402,1,real_00502.jpg
840,85,121,432,432,1,real_00264.jpg
841,86,60,436,436,1,real_00258.jpg
842,397,5,60,60,2,real_00714.jpg
843,310,397,35,35,1,real_00072.jpg
844,0,0,0,0,0,0
845,0,0,0,0,0,0
846,30,23,533,533,1,real_00728.jpg
847,89,110,421,421,1,real_00933.jpg
848,0,0,0,0,0,0
849,189,166,364,364,2,real_00927.jpg
850,142,159,400,400,1,real_00660.jpg
851,87,80,464,464,1,real_00106.jpg
852,176,141,358,358,1,real_00112.jpg
853,119,226,88,88,2,real_00674.jpg
854,156,80,385,385,1,real_00884.jpg
855,70,92,458,458,1,real_00648.jpg
856,58,108,439,439,1,real_00890.jpg
857,55,65,506,506,1,real_00847.jpg
858,184,109,404,404,1,real_00853.jpg
859,71,104,470,470,1,real_00304.jpg
860,118,211,338,338,1,real_00462.jpg
861,125,126,429,429,1,real_00476.jpg
862,24,139,393,393,1,real_00310.jpg
863,0,0,0,0,0,0
864,118,162,394,394,1,real_01026.jpg
865,34,27,483,483,1,real_01032.jpg
866,64,183,362,362,1,real_00489.jpg
867,0,0,0,0,0,0
868,39,139,392,392,1,real_01033.jpg
869,117,87,442,442,1,real_01027.jpg
870,0,0,0,0,0,0
871,103,165,379,379,1,real_00477.jpg
872,50,137,437,437,1,real_00311.jpg
873,131,173,378,378,2,real_00305.jpg
874,123,207,228,228,1,real_00463.jpg
875,127,280,61,61,2,real_00852.jpg
876,82,118,441,441,1,real_00846.jpg
877,66,149,351,351,1,real_00891.jpg
878,114,29,481,481,1,real_00649.jpg
879,69,77,488,488,1,real_00885.jpg
880,82,115,476,476,1,real_00113.jpg
881,66,69,460,460,1,real_00675.jpg
882,0,0,0,0,0,0
883,79,154,390,390,1,real_00107.jpg
884,0,0,0,0,0,0
885,129,205,378,378,1,real_00926.jpg
886,36,64,475,475,1,real_00932.jpg
887,61,130,468,468,1,real_00729.jpg
888,80,85,464,464,1,real_00067.jpg
889,77,143,421,421,1,real_00701.jpg
890,134,89,424,424,1,real_00715.jpg
891,40,159,406,406,2,real_00073.jpg
892,221,352,123,123,2,real_00259.jpg
893,74,125,418,418,1,real_00503.jpg
894,71,80,454,454,1,real_00265.jpg
895,55,104,455,455,1,real_00271.jpg
896,76,115,423,423,1,real_00517.jpg
897,151,192,371,371,2,real_00267.jpg
898,11,81,435,435,1,real_00501.jpg
899,25,57,428,428,1,real_00515.jpg
900,21,228,46,46,2,real_00273.jpg
901,486,447,58,58,1,real_00529.jpg
902,106,206,352,352,1,real_00298.jpg
903,92,137,420,420,1,real_00494(1).jpg
904,74,47,479,479,1,real_00703.jpg
905,101,127,421,421,1,real_00065.jpg
906,93,159,377,377,1,real_00071.jpg
907,211,147,361,361,1,real_00717.jpg
908,70,140,429,429,1,real_00059.jpg
909,42,39,472,472,1,real_00918.jpg
910,27,8,517,517,1,real_00924.jpg
911,150,152,366,366,2,real_00930.jpg
912,103,135,412,412,1,real_00677.jpg
913,23,167,373,373,1,real_00111.jpg
914,263,231,80,80,1,real_00105.jpg
915,141,66,426,426,1,real_00663.jpg
916,143,115,420,420,1,real_00893.jpg
917,105,131,453,453,1,real_00139.jpg
918,79,84,461,461,1,real_00887.jpg
919,114,169,394,394,1,real_00878.jpg
920,115,69,439,439,1,real_00850.jpg
921,37,25,537,537,2,real_00688.jpg
922,150,109,402,402,1,real_00844.jpg
923,81,110,418,418,1,real_00313.jpg
924,74,163,402,402,1,real_00475.jpg
925,69,58,463,463,1,real_00461.jpg
926,47,100,413,413,1,real_00307.jpg
927,110,117,461,461,1,real_01019.jpg
928,136,163,378,378,1,real_01031.jpg
929,75,143,434,434,1,real_00449.jpg
930,0,0,0,0,0,0
931,59,62,506,506,1,real_01024.jpg
932,143,160,386,386,1,real_01030.jpg
933,98,158,402,402,1,real_00448.jpg
934,80,95,433,433,1,real_00460.jpg
935,93,104,470,470,1,real_01018.jpg
936,100,200,348,348,1,real_00306.jpg
937,84,204,380,380,1,real_00312.jpg
938,83,169,407,407,1,real_00474.jpg
939,62,121,387,387,1,real_00845.jpg
940,108,174,382,382,1,real_00689.jpg
941,0,0,0,0,0,0
942,428,62,54,54,2,real_00879.jpg
943,74,111,400,400,1,real_00138.jpg
944,75,130,406,406,1,real_00886.jpg
945,101,88,418,418,1,real_00892.jpg
946,29,1,55,55,2,real_00104.jpg
947,64,176,383,383,1,real_00662.jpg
948,116,138,419,419,1,real_00676.jpg
949,73,120,402,402,1,real_00110.jpg
950,62,78,473,473,1,real_00931.jpg
951,67,131,413,413,1,real_00925.jpg
952,124,134,388,388,1,real_00919.jpg
953,35,38,532,532,1,real_00058.jpg
954,0,0,0,0,0,0
955,275,293,96,96,1,real_00716.jpg
956,35,109,437,437,1,real_00702.jpg
957,74,110,434,434,1,real_00064.jpg
958,30,175,385,385,1,real_00299.jpg
959,92,92,443,443,1,real_00528.jpg
960,0,0,0,0,0,0
961,27,54,476,476,1,real_00272.jpg
962,24,140,405,405,1,real_00266.jpg
963,59,92,446,446,1,real_00500.jpg
964,256,145,302,302,2,real_00538.jpg
965,538,214,46,46,2,real_00504.jpg
966,88,84,50,50,2,real_00262.jpg
967,86,184,339,339,1,real_00276.jpg
968,0,0,0,0,0,0
969,56,167,410,410,1,real_00289.jpg
970,112,132,395,395,1,real_00048.jpg
971,88,22,469,469,1,real_00060.jpg
972,25,233,52,52,3,real_00706.jpg
973,139,173,353,353,1,real_00712.jpg
974,151,146,422,422,1,real_00074.jpg
975,0,0,0,0,0,0
976,0,0,0,0,0,0
977,78,125,420,420,1,real_00909.jpg
978,57,29,509,509,1,real_00128.jpg
979,54,69,440,440,1,real_00896.jpg
980,64,103,454,454,1,real_00882.jpg
981,55,106,403,403,2,real_00114.jpg
982,477,144,82,82,3,real_00672.jpg
983,406,21,134,134,1,real_00666.jpg
984,26,98,469,469,1,real_00100.jpg
985,169,106,369,369,1,real_00855.jpg
986,45,107,436,436,1,real_00841.jpg
987,102,171,385,385,1,real_00699.jpg
988,60,35,485,485,1,real_00869.jpg
989,124,55,453,453,1,real_01034.jpg
990,76,178,392,392,1,real_01020.jpg
991,64,65,475,475,1,real_00458.jpg
992,48,91,466,466,1,real_00470.jpg
993,27,100,422,422,1,real_00316.jpg
994,119,178,368,368,1,real_01008.jpg
995,68,130,378,378,1,real_00302.jpg
996,126,156,358,358,1,real_00464.jpg
997,111,189,368,368,1,real_00303.jpg
998,67,191,348,348,1,real_00465.jpg
999,112,316,97,97,1,real_00471.jpg
1000,132,155,407,407,1,real_01009.jpg
1001,176,97,62,62,2,real_00317.jpg
1002,92,114,440,440,1,real_01021.jpg
1003,110,207,347,347,1,real_00459.jpg
1004,106,217,372,372,1,real_01035.jpg
1005,81,117,421,421,1,real_00868.jpg
1006,89,112,403,403,1,real_00698.jpg
1007,166,146,396,396,1,real_00840.jpg
1008,75,104,437,437,1,real_00854.jpg
1009,72,96,460,460,1,real_00667.jpg
1010,63,75,471,471,1,real_00101.jpg
1011,93,126,409,409,1,real_00115.jpg
1012,80,127,414,414,1,real_00673.jpg
1013,17,156,420,420,1,real_00883.jpg
1014,31,41,458,458,1,real_00129.jpg
1015,62,190,116,116,2,real_00897.jpg
1016,84,132,400,400,1,real_00908.jpg
1017,126,165,411,411,1,real_00934.jpg
1018,99,122,450,450,1,real_00920.jpg
1019,125,95,419,419,1,real_00713.jpg
1020,29,110,434,434,1,real_00075.jpg
1021,59,30,471,471,1,real_00061.jpg
1022,155,136,412,412,1,real_00707.jpg
1023,91,175,387,387,3,real_00049.jpg
1024,43,144,341,341,1,real_00288.jpg
1025,111,183,381,381,1,real_00277.jpg
1026,0,0,0,0,0,0
1027,85,76,402,402,1,real_00505.jpg
1028,99,177,391,391,1,real_00263.jpg
1029,100,90,443,443,1,real_00539.jpg
1030,62,120,430,430,1,real_00249.jpg
1031,13,289,26,26,4,real_00513.jpg
1032,0,0,0,0,0,0
1033,110,187,401,401,1,real_00261.jpg
1034,48,85,486,486,1,real_00507.jpg
1035,120,166,395,395,1,real_00739.jpg
1036,347,157,51,51,1,real_00077.jpg
1037,0,0,0,0,0,0
1038,0,0,0,0,0,0
1039,11,64,476,476,1,real_00063.jpg
1040,109,132,453,453,1,real_00088.jpg
1041,99,136,426,426,1,real_00936.jpg
1042,440,190,120,120,3,real_00922.jpg
1043,162,200,361,361,1,real_00659.jpg
1044,67,165,395,395,1,real_00881.jpg
1045,120,314,42,42,2,real_00895.jpg
1046,303,123,58,58,1,real_00103.jpg
1047,31,115,413,413,1,real_00665.jpg
1048,0,0,0,0,0,0
1049,158,190,343,343,1,real_00117.jpg
1050,159,122,390,390,1,real_00842.jpg
1051,69,129,447,447,1,real_00856.jpg
1052,25,119,426,426,1,real_01023.jpg
1053,97,46,480,480,1,real_00329.jpg
1054,151,175,354,354,1,real_01037.jpg
1055,110,165,371,371,1,real_00467.jpg
1056,89,183,360,360,1,real_00301.jpg
1057,109,200,381,381,1,real_00315.jpg
1058,52,78,447,447,1,real_00473.jpg
1059,82,91,477,477,1,real_00498.jpg
1060,54,176,388,388,1,real_00499.jpg
1061,132,246,226,226,1,real_00314.jpg
1062,103,135,402,402,1,real_00472.jpg
1063,219,354,176,176,1,real_00466.jpg
1064,92,172,402,402,1,real_00300.jpg
1065,58,167,336,336,1,real_01036.jpg
1066,34,97,480,480,1,real_00328.jpg
1067,122,181,358,358,1,real_01022.jpg
1068,0,0,0,0,0,0
1069,79,182,358,358,1,real_00843.jpg
1070,41,37,484,484,1,real_00670.jpg
1071,132,159,367,367,1,real_00116.jpg
1072,92,121,431,431,1,real_00102.jpg
1073,155,121,395,395,1,real_00664.jpg
1074,301,282,74,74,1,real_00894.jpg
1075,224,326,61,61,1,real_00880.jpg
1076,106,227,361,361,1,real_00658.jpg
1077,132,259,319,319,1,real_00923.jpg
1078,89,180,411,411,1,real_00089.jpg
1079,97,201,343,343,1,real_00937.jpg
1080,398,312,54,54,1,real_00704.jpg
1081,141,184,379,379,1,real_00062.jpg
1082,70,60,455,455,1,real_00076.jpg
1083,67,217,354,354,1,real_00710.jpg
1084,151,185,373,373,1,real_00738.jpg
1085,81,126,408,408,1,real_00260.jpg
1086,80,44,503,503,1,real_00506.jpg
1087,58,30,487,487,1,real_00512.jpg
1088,456,226,52,52,2,real_00274.jpg
1089,69,52,476,476,1,real_01007(1).jpg
1090,131,180,362,362,2,real_00248.jpg
